ID,Label
1,19
2,13
3,8
4,8
5,8
6,8
7,20
8,20
9,5
10,25
11,1
12,1
13,7
14,7
15,8
16,8
17,27
18,27
19,6
20,7
21,5
22,2
23,17
24,17
25,12
26,12
27,14
28,14
29,1
30,1
31,13
32,19
33,28
34,28
35,6
36,6
37,29
38,7
39,6
40,17
41,8
42,3
43,19
44,6
45,11
46,11
47,17
48,17
49,3
50,3
51,18
52,18
53,27
54,27
55,17
56,5
57,5
58,25
59,17
60,17
61,12
62,12
63,27
64,8
65,15
66,15
67,12
68,12
69,21
70,21
71,10
72,8
73,28
74,28
75,7
76,7
77,10
78,10
79,4
80,4
81,28
82,10
83,5
84,8
85,7
86,7
87,12
88,12
89,18
90,20
91,2
92,12
93,28
94,28
95,26
96,24
97,16
98,16
99,6
100,6
101,9
102,7
103,21
104,21
105,2
106,23
107,1
108,1
109,2
110,25
111,12
112,10
113,5
114,5
115,2
116,7
117,13
118,13
119,15
120,15
121,1
122,1
123,6
124,6
125,19
126,19
127,23
128,14
129,13
130,17
131,7
132,22
133,1
134,1
135,23
136,23
137,24
138,24
139,1
140,1
141,1
142,1
143,16
144,29
145,16
146,16
147,7
148,2
149,29
150,11
151,6
152,2
153,22
154,6
155,12
156,12
157,28
158,28
159,5
160,5
161,5
162,25
163,23
164,23
165,10
166,4
167,10
168,10
169,6
170,6
171,17
172,12
173,2
174,7
175,27
176,27
177,7
178,2
179,19
180,19
181,21
182,21
183,16
184,2
185,16
186,16
187,2
188,22
189,3
190,22
191,12
192,12
193,2
194,2
195,9
196,9
197,20
198,20
199,9
200,9
201,8
202,7
203,19
204,19
205,28
206,28
207,1
208,1
209,5
210,17
211,4
212,4
213,22
214,6
215,11
216,11
217,1
218,1
219,7
220,2
221,1
222,1
223,15
224,5
225,16
226,6
227,5
228,8
229,13
230,13
231,3
232,2
233,11
234,11
235,5
236,5
237,22
238,22
239,18
240,9
241,10
242,10
243,13
244,13
245,8
246,7
247,5
248,5
249,22
250,22
251,4
252,4
253,2
254,24
255,23
256,23
257,14
258,14
259,6
260,6
261,22
262,8
263,11
264,11
265,28
266,28
267,7
268,7
269,15
270,3
271,18
272,15
273,2
274,7
275,5
276,19
277,6
278,20
279,12
280,12
281,21
282,21
283,4
284,4
285,14
286,14
287,15
288,6
289,5
290,25
291,4
292,4
293,15
294,15
295,7
296,2
297,5
298,4
299,15
300,15
301,11
302,11
303,3
304,26
305,12
306,12
307,28
308,28
309,15
310,15
311,29
312,29
313,20
314,20
315,29
316,14
317,8
318,7
319,24
320,29
321,27
322,27
323,8
324,2
325,9
326,22
327,21
328,21
329,5
330,28
331,17
332,17
333,9
334,9
335,2
336,7
337,29
338,3
339,27
340,27
341,1
342,1
343,28
344,28
345,25
346,2
347,8
348,10
349,9
350,9
351,6
352,8
353,5
354,5
355,25
356,7
357,18
358,18
359,11
360,11
361,20
362,5
363,8
364,7
365,23
366,14
367,3
368,8
369,21
370,11
371,21
372,21
373,28
374,29
375,25
376,25
377,23
378,23
379,11
380,11
381,21
382,21
383,21
384,11
385,18
386,18
387,15
388,20
389,10
390,2
391,6
392,6
393,13
394,13
395,29
396,6
397,1
398,1
399,6
400,20
401,15
402,15
403,6
404,6
405,6
406,6
407,24
408,24
409,2
410,6
411,9
412,9
